State Code,County Code,Site Num,Date Local,Latitude,Longitude,State Name,County Name,City Name,PM2.5 Mean,PM10 Mean
1,73,23,2023-02-28,33.553056,-86.815,Alabama,Jefferson,Birmingham,76.033333,110
1,73,23,2023-03-01,33.553056,-86.815,Alabama,Jefferson,Birmingham,18.733333,46
1,73,23,2023-03-02,33.553056,-86.815,Alabama,Jefferson,Birmingham,6.333333,12
1,73,23,2023-03-03,33.553056,-86.815,Alabama,Jefferson,Birmingham,9.291667,21
1,73,23,2023-03-04,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.675,10
1,73,23,2023-03-05,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.9625,16
1,73,23,2023-03-06,33.553056,-86.815,Alabama,Jefferson,Birmingham,23.529167,54
1,73,23,2023-03-07,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.63913,42
1,73,23,2023-03-08,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.1,34
1,73,23,2023-03-09,33.553056,-86.815,Alabama,Jefferson,Birmingham,12.820833,44
1,73,23,2023-03-10,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.895833,30
1,73,23,2023-03-11,33.553056,-86.815,Alabama,Jefferson,Birmingham,7.120833,17
1,73,23,2023-03-12,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.233333,15
1,73,23,2023-03-13,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.508333,11
1,73,23,2023-03-14,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.170833,13
1,73,23,2023-03-15,33.553056,-86.815,Alabama,Jefferson,Birmingham,11.554167,23
1,73,23,2023-03-16,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.935,57
1,73,23,2023-03-17,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.8875,14
1,73,23,2023-03-18,33.553056,-86.815,Alabama,Jefferson,Birmingham,4.870833,10
1,73,23,2023-03-19,33.553056,-86.815,Alabama,Jefferson,Birmingham,5.141667,13
1,73,23,2023-03-20,33.553056,-86.815,Alabama,Jefferson,Birmingham,8.866667,20
1,73,23,2023-03-21,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.233333,48
1,73,23,2023-03-22,33.553056,-86.815,Alabama,Jefferson,Birmingham,17.313043,49
1,73,23,2023-03-23,33.553056,-86.815,Alabama,Jefferson,Birmingham,15.558333,42
1,73,23,2023-03-24,33.553056,-86.815,Alabama,Jefferson,Birmingham,20.7,35
1,73,23,2023-03-25,33.553056,-86.815,Alabama,Jefferson,Birmingham,21.875,34
1,73,23,2023-03-26,33.553056,-86.815,Alabama,Jefferson,Birmingham,19.441667,38
